estimator,policy,kind,k,n_state_dims,tpr,fpr,fpr_benign_entities,fpr_attacker_preonset,threshold,ce_bits,mi_state_given_feat_bits,mi_total_bits,rdet,rdet_lo,rdet_hi
LogisticRegression,myopic,myopic,0,0,0.08290829082908291,0.049994418634634503,0.049529982517482515,0.05435591897178854,0.17777715024728788,0.49595569117170524,0.0,0.002315602149586038,0.0,0.0,0.0
LogisticRegression,clock,clock,0,1,0.001000100010001,0.049957683533502766,0.055275786713286715,1.5596871760057724e-05,0.31525477331598867,0.4550690448317836,0.04088664633992162,0.043202248489507655,0.9464008881355234,0.943869272574415,0.9501463732849407
LogisticRegression,mean_10,mean,10,3,0.10681068106810682,0.050041265763604646,0.04907325174825175,0.059131845282315694,0.32043968319279775,0.4700306361940921,0.02592505497761316,0.028240657127199198,0.9180046647230516,0.9150107895345151,0.9235375037121685
LogisticRegression,mean_30,mean,30,3,0.11071107110711072,0.05011892297739496,0.04900227272727273,0.06060533921964746,0.3999315082739207,0.42565453458792524,0.07030115658378,0.07261675873336604,0.9681120144994566,0.9668728285497099,0.9703806588081676
LogisticRegression,mean_120,mean,120,3,0.11221122112211221,0.050121371984137075,0.05103295454545455,0.04156073791262961,0.37400754835471656,0.36934934708321165,0.12660634408849358,0.12892194623807962,0.9820387279500898,0.9812597121125369,0.9833744030369018
LogisticRegression,mean_120_clock,mean_clock,120,4,0.10651065106510652,0.05019365718313822,0.0518791958041958,0.0343648338153314,0.36922637019605303,0.3682522042612666,0.12770348691043865,0.13001908906002468,0.9821902909309185,0.9814289409273073,0.9835107134956957
LogisticRegression,lag_30,lag,30,90,0.1112111211121112,0.050074524855166926,0.04895917832167832,0.06054869794851883,0.4016209294972479,0.425403915231665,0.07055177594004025,0.07286737808962629,0.9682216897287307,0.9669877424106966,0.9704861121532448
LogisticRegression,ema_120,ema,120,3,0.1034103410341034,0.050264362377789626,0.05339807692307692,0.020835778895462377,0.36486618172939234,0.35686442372602073,0.1390912674456845,0.14140686959527055,0.9836245427381735,0.9829397901200181,0.984830016785764
LogisticRegression,ema_120_bc,ema_bc,120,3,0.052705270527052706,0.04982393616529626,0.04438951048951049,0.10085840256839433,0.30256654543514583,0.45846564634857206,0.03749004482313317,0.03980564697271921,0.9418272952284124,0.9388276406596041,0.9466424875769207
LogisticRegression,ema_120_clock,ema_clock,120,4,0.1401140114011401,0.05012808700262352,0.05203015734265734,0.032265823231622574,0.377961069075637,0.35196136619989005,0.1439943249718152,0.14630992712140123,0.9841733080239685,0.9835192937682302,0.9853391271308297
HistGradientBoosting,myopic,myopic,0,0,0.0746074607460746,0.05118392490934528,0.050866958041958045,0.054160547630794136,0.1849492859533987,0.4962243422958902,0.0,0.002046951025401089,0.0,0.0,0.0
HistGradientBoosting,clock,clock,0,1,0.030703070307030702,0.05001393168835394,0.05521013986013986,0.0012165559972845026,0.2964770877985904,0.4481518585370773,0.0480724837588129,0.05011943478421399,0.9591585373176272,0.9571150960147768,0.9624431678252782
HistGradientBoosting,ema_120,ema,120,3,0.07930793079307931,0.05016537510527767,0.054046066433566436,0.013721963596901312,0.38007897518322586,0.35832203134756485,0.13790231094832534,0.13994926197372642,0.9853736204354877,0.9847009940150198,0.986603738046341
HistGradientBoosting,ema_120_bc,ema_bc,120,3,0.09440944094409441,0.04989716936690727,0.04615681818181818,0.08502265240401151,0.5202633281449642,0.40681323355422655,0.08941110874166364,0.09145805976706473,0.9776186917739729,0.9764609436111648,0.9795217517026517
