window_hours,quantity,point,ci_lo,ci_hi,n_attackers,n_benign_entities
24,myopic_tpr,0.10436261757054233,0.0980588353011807,0.11056633980388234,9994,40000
24,fast_tpr,0.5467280368220933,0.5370222133279968,0.5559335601360816,9994,40000
24,difference,0.44236541925155093,0.4316564938963378,0.45337202321392833,9994,40000
24,myopic_fpr_benign_entities,0.04863640350877193,0.04823372807017543,0.04902851973684211,9994,40000
24,fast_fpr_benign_entities,0.0377719298245614,0.03730123903508771,0.03827807017543859,9994,40000
120,myopic_tpr,0.13267960776465879,0.1259730838503102,0.13908595157094256,9994,40000
120,fast_tpr,0.9404642785671403,0.9358615169101461,0.9448669201520913,9994,40000
120,difference,0.8077846708024815,0.8001776065639383,0.8155918551130679,9994,40000
120,myopic_fpr_benign_entities,0.04886530612244898,0.04794691326530613,0.049807385204081636,9994,40000
120,fast_fpr_benign_entities,0.036863265306122446,0.036018686224489796,0.0377414668367347,9994,40000
