window_length,tau_slow,fast_tpr,fast_fpr,slow_tpr,slow_fpr,or_tpr,or_fpr,fast_threshold,slow_threshold,individual_fpr
68,500,0.1878,0.0298,0.3207,0.0308,0.3718,0.0485,0.9976,0.7979,0.031
68,800,0.1825,0.0288,0.3408,0.0293,0.3968,0.0487,0.9976,0.7857,0.03
68,1200,0.1763,0.0277,0.3534,0.0286,0.4114,0.0485,0.9976,0.7788,0.029
68,1600,0.1763,0.0277,0.3614,0.029,0.4214,0.0494,0.9976,0.7729,0.029
68,2000,0.1763,0.0277,0.3662,0.0289,0.4277,0.0496,0.9976,0.7704,0.029
68,2500,0.1763,0.0277,0.3696,0.0288,0.4321,0.0498,0.9976,0.7678,0.029
68,3000,0.1722,0.0267,0.3628,0.0276,0.4261,0.0483,0.9977,0.7724,0.028
103,500,0.2466,0.0294,0.392,0.0314,0.4548,0.0485,0.9978,0.8052,0.031
103,800,0.2396,0.0286,0.4112,0.0295,0.4793,0.0486,0.9978,0.7932,0.03
103,1200,0.2317,0.0271,0.4271,0.0286,0.4962,0.0479,0.9979,0.7851,0.029
103,1600,0.2317,0.0271,0.4352,0.0288,0.5059,0.0487,0.9979,0.7798,0.029
103,2000,0.2317,0.0271,0.4384,0.0289,0.5109,0.0491,0.9979,0.7765,0.029
103,2500,0.2273,0.0262,0.4353,0.028,0.5081,0.0479,0.9979,0.7782,0.028
103,3000,0.2273,0.0262,0.4376,0.028,0.5109,0.0481,0.9979,0.7762,0.028
206,500,0.4514,0.0287,0.6115,0.0296,0.6823,0.0464,0.9982,0.8309,0.031
206,800,0.4458,0.0277,0.6306,0.0298,0.7095,0.0478,0.9982,0.8081,0.03
206,1200,0.4381,0.0267,0.6379,0.029,0.7201,0.0476,0.9982,0.7992,0.029
206,1600,0.4381,0.0267,0.6413,0.029,0.7268,0.0481,0.9982,0.7947,0.029
206,2000,0.4381,0.0267,0.6461,0.0292,0.7325,0.0486,0.9982,0.7907,0.029
206,2500,0.4308,0.0259,0.6414,0.0278,0.729,0.0471,0.9982,0.794,0.028
206,3000,0.4308,0.0259,0.6424,0.0278,0.7304,0.0473,0.9982,0.7927,0.028
