signal_inc,policy,window_hours,window_steps,threshold,tpr,fpr,fpr_benign_entities,fpr_attacker_preonset
0.02,myopic,24,444,0.20018786191940308,0.1284114052953157,0.04989871347855283,0.0487125,0.060466022660839065
0.02,myopic,36,667,0.2059977874159813,0.13360488798370673,0.050532686782780535,0.04945357142857143,0.061869207969084156
0.02,myopic,52,963,0.2117861658334732,0.12443991853360489,0.04952641097831559,0.04883,0.059110927608037434
0.02,myopic,72,1333,0.21592645347118378,0.10753564154786151,0.0503974242266876,0.05025625,0.05653710247349823
0.02,clock,24,444,0.4168327584862708,0.09908350305498982,0.049794757825472505,0.05538125,2.7838868628378942e-05
0.02,clock,36,667,0.42243016362190244,0.22026476578411405,0.04979243640205705,0.054528571428571426,3.7519228604659885e-05
0.02,clock,52,963,0.36238389015197753,0.8595723014256619,0.05015568772956948,0.05353,0.0037159372419488025
0.02,clock,72,1333,0.44096555262804027,0.4006109979633401,0.050751776342719594,0.05191875,0.0
0.02,fast,24,444,0.755233108997345,0.94979633401222,0.05076969327463117,0.03844375,0.16057459424848974
0.02,fast,36,667,0.8204091191291809,0.970061099796334,0.049688083925479284,0.03798214285714286,0.1726634900386448
0.02,fast,52,963,0.8525266051292419,0.9726069246435846,0.049917960956873564,0.039275,0.1963941646022571
0.02,fast,72,1333,0.8688221573829651,0.9707739307535641,0.05167431374825115,0.04681875,0.2628431639032346
0.02,fast_bc,24,444,0.650437369942665,0.9032586558044806,0.048850728111013396,0.036284375,0.16079730519751678
0.02,fast_bc,36,667,0.6908616840839381,0.9457230142566192,0.049485901002109874,0.037135714285714286,0.17922935504446028
0.02,fast_bc,52,963,0.7325395941734314,0.9484725050916497,0.05058918949154439,0.04037,0.19123314065510597
0.02,fast_bc,72,1333,0.7537117600440979,0.9448065173116089,0.04996364836051051,0.04588125,0.2275074748572982
0.05,myopic,24,444,0.28609704971313477,0.20091649694501018,0.049974573009179006,0.048128125,0.06642354054731216
0.05,myopic,36,667,0.295773833990097,0.20743380855397148,0.049913093953100084,0.04820357142857143,0.06787228454582973
0.05,myopic,52,963,0.30455151200294495,0.19144602851323828,0.04935860384464789,0.04816,0.06585466556564823
0.05,myopic,72,1333,0.3109320402145386,0.1655804480651731,0.051014485670122615,0.0504625,0.07502038597444959
0.05,clock,24,444,0.5126052856445312,0.13961303462321792,0.049752613641791295,0.055315625,0.0001948720803986526
0.05,clock,36,667,0.5199295997619628,0.30203665987780043,0.04979243640205705,0.054514285714285717,0.00018759614302329945
0.05,clock,52,963,0.4597347319126129,0.8764765784114052,0.0506497865120355,0.05402,0.004266446462978255
0.05,clock,72,1333,0.5449722081422805,0.5408350305498981,0.04955431057130114,0.0506875,0.0002718129926610492
0.05,fast,24,444,0.23283372819423676,0.9984725050916496,0.04974699441730047,0.021084375,0.3050861612984048
0.05,fast,36,667,0.2944072484970093,0.9981670061099797,0.04945655186807238,0.020314285714285715,0.3556072487149664
0.05,fast,52,963,0.3216945230960846,0.9980651731160897,0.049433184792944646,0.023685,0.4037985136251032
0.05,fast,72,1333,0.30184563994407654,0.9981670061099797,0.05030578143805864,0.03803125,0.5841261212285948
0.05,fast_bc,24,444,0.2959036350250244,0.9971486761710794,0.04819608845783194,0.0209125,0.2912502435901005
0.05,fast_bc,36,667,0.3292093515396115,0.9971486761710794,0.048863047157536366,0.021875,0.33238284620868197
0.05,fast_bc,52,963,0.3644829988479614,0.9967413441955193,0.04804877594018608,0.025395,0.3598265895953757
0.05,fast_bc,72,1333,0.331683486700058,0.9970468431771894,0.050208029130187744,0.0392875,0.5251427018211471
0.12,myopic,24,444,0.6289132833480835,0.6325865580448066,0.04946884280500448,0.043853125,0.09949611647782634
0.12,myopic,36,667,0.6493445038795471,0.6688391038696537,0.04920545372130714,0.044328571428571426,0.10043897497467452
0.12,myopic,52,963,0.6671303510665894,0.6577393075356416,0.04763858072455391,0.043905,0.09902284613267272
0.12,myopic,72,1333,0.6791021764278411,0.6128309572301426,0.048387392396092355,0.047,0.10872519706441967
0.12,clock,24,444,0.7649976938962937,0.44979633401221997,0.051210802397161165,0.056565625,0.0035076974471757467
0.12,clock,36,667,0.7747756659984588,0.7068228105906313,0.05088813740612353,0.05531785714285714,0.004352230518140547
0.12,clock,52,963,0.7382495403289795,0.9264765784114053,0.051488822180374025,0.054,0.016928158546655657
0.12,clock,72,1333,0.8043110966682434,0.9271894093686355,0.05092284288149366,0.05166875,0.018483283500951346
0.12,fast,24,444,0.01513298531062885,0.99989816700611,0.04787579266185474,0.000584375,0.46916845299407034
0.12,fast,36,667,0.016831414215266682,0.99989816700611,0.04801192227044901,0.0006357142857142857,0.5457171800547781
0.12,fast,52,963,0.01050145570188752,1.0,0.048342438424104565,0.004625,0.6500137627305257
0.12,fast,72,1333,0.006320107216015458,1.0,0.05076399538120345,0.0324,0.8494156020657787
0.12,fast_bc,24,444,0.030290931649505498,0.99989816700611,0.04801908288637085,0.002825,0.45062776648756997
0.12,fast_bc,36,667,0.03076139874756336,0.99989816700611,0.048093447642775386,0.003167857142857143,0.5200540276891907
0.12,fast_bc,52,963,0.022634576633572556,0.99989816700611,0.04887382768071896,0.007505,0.6182218552160749
0.12,fast_bc,72,1333,0.011840939568355673,1.0,0.04871119691591469,0.03055625,0.8382712693666757
0.25,myopic,24,444,0.9319160580635071,0.9921588594704684,0.048311282559893906,0.031125,0.20141421452632166
0.25,myopic,36,667,0.9414212524890897,0.9915478615071283,0.04832824071507535,0.03238214285714286,0.21584812216260835
0.25,myopic,52,963,0.9476303577423093,0.9898167006109979,0.047741129528461955,0.03482,0.22557115331681807
0.25,myopic,72,1333,0.949820128083229,0.9892057026476578,0.04920606797451109,0.04348125,0.29817885294917096
0.25,clock,24,444,0.9427776634693146,0.9513238289205702,0.05031734570311951,0.050628125,0.047548787617271236
0.25,clock,36,667,0.9489740073680878,0.9794297352342158,0.05010549383179033,0.04978214285714286,0.053502419990245
0.25,clock,52,963,0.9441952109336853,0.9981670061099797,0.05034680140957992,0.04601,0.11003303055326177
0.25,clock,72,1333,0.9617207705974579,0.9989816700610998,0.05136883778615461,0.048225,0.18809459092144604
0.25,fast,24,444,0.010218213312327862,1.0,0.04782521964143729,0.0,0.4738732217922664
0.25,fast,36,667,0.010604414064437089,1.0,0.047574946274779636,0.0,0.5473680261133831
0.25,fast,52,963,0.001577960210852325,1.0,0.048370406279715845,0.00017,0.711739609138453
0.25,fast,72,1333,0.000685042527038604,1.0,0.04973759614855907,0.02990625,0.9122044033704811
0.25,fast_bc,24,444,0.010122306132688932,1.0,0.047856125376136836,3.125e-06,0.47415161047855015
0.25,fast_bc,36,667,0.009828679263591754,1.0,0.047826044421544874,3.5714285714285714e-06,0.5502194874873373
0.25,fast_bc,52,963,0.0017346190754324105,1.0,0.04840303544459568,0.000915,0.7019680704651803
0.25,fast_bc,72,1333,0.0006118180637713509,1.0,0.05051350509228429,0.030675,0.9132916553411253
