signal_inc,policy,window_hours,window_steps,threshold,tpr,fpr,fpr_benign_entities,fpr_attacker_preonset
0.02,myopic,24,444,0.23818843066692352,0.11016353968094712,0.049891596565779205,0.04936875,0.056344003085229466
0.02,myopic,36,667,0.24415257573127747,0.11688572288552222,0.05042233779646638,0.04989642857142857,0.05850392404368586
0.02,myopic,52,963,0.250081330537796,0.12039731112671817,0.04965107846292018,0.04934,0.05722634847193474
0.02,myopic,72,1333,0.254488080739975,0.10926055984749673,0.050154583924511,0.0501125,0.054960742326909354
0.02,clock,24,444,0.38728282749652865,0.03842680846794422,0.05023848755528575,0.054309375,0.0
0.02,clock,36,667,0.39129698276519775,0.10986254640313033,0.05090855439422442,0.05422142857142857,0.0
0.02,clock,52,963,0.3564235270023346,0.6172368817096419,0.04911316776570147,0.05105,0.0019481310118105442
0.02,clock,72,1333,0.4075632244348526,0.3146383064111568,0.04946066009504278,0.04989375,0.0
0.02,fast,24,444,0.7813557386398315,0.8081669509380958,0.050799294654988,0.0474625,0.0919784033937524
0.02,fast,36,667,0.8285121917724609,0.9053877796729206,0.05126399549327512,0.04808571428571429,0.10010427528675704
0.02,fast,52,963,0.8597495555877686,0.9571586234574094,0.051101516235777786,0.048705,0.10946061122610495
0.02,fast,72,1333,0.8814772367477417,0.9681950436440253,0.05100959721439149,0.05025,0.1377587437544611
0.02,fast_bc,24,444,0.6949858188629153,0.7348249222434032,0.04986268898332032,0.044284375,0.11870420362514462
0.02,fast_bc,36,667,0.7331878840923309,0.8602387880004013,0.050217791503616445,0.04493214285714286,0.13144174304374073
0.02,fast_bc,52,963,0.770153820514679,0.9238487007123508,0.0510630940431193,0.04737,0.14099598197978813
0.02,fast_bc,72,1333,0.7975966095924375,0.9407043242700913,0.050123605182124026,0.04929375,0.14489650249821556
0.05,myopic,24,444,0.3247333765029907,0.16183405237283033,0.04995230248894285,0.049184375,0.059429232549170846
0.05,myopic,36,667,0.3341914713382721,0.17598073643021972,0.0499663001599485,0.049171428571428574,0.06218099994511827
0.05,myopic,52,963,0.3430408537387848,0.18190027089395003,0.048916254028326764,0.048325,0.06331425788384269
0.05,myopic,72,1333,0.3493534326553345,0.170663188522123,0.050482958593812924,0.05028125,0.07351891506067094
0.05,clock,24,444,0.4752379208803177,0.060298986655964684,0.049414621455207704,0.053415625,3.856536829926726e-05
0.05,clock,36,667,0.4807899594306946,0.1643423296879703,0.049889176147890325,0.05313214285714286,5.488172987212557e-05
0.05,clock,52,963,0.44494208693504333,0.6498444868064613,0.05066926656836989,0.05265,0.0024351637647631805
0.05,clock,72,1333,0.5008872866630554,0.4351359486304806,0.05066263529965737,0.05110625,0.0
0.05,fast,24,444,0.6475513368844988,0.9891642419985953,0.05036568091810482,0.039053125,0.18997300424219052
0.05,fast,36,667,0.7219526767730713,0.995986756295776,0.05011048853031812,0.03904642857142857,0.22013061851709567
0.05,fast,52,963,0.7631931900978088,0.9966890739440153,0.04987200607070644,0.04216,0.2376719834408864
0.05,fast,72,1333,0.7883731126785278,0.9964884117588041,0.05016697542146579,0.0480375,0.29336188436830835
0.05,fast_bc,24,444,0.5111070841550828,0.9876592756095114,0.04948978116960079,0.036528125,0.20944851523332048
0.05,fast_bc,36,667,0.5569908916950226,0.9950837764623257,0.04938284024263885,0.037267857142857144,0.23555238461116296
0.05,fast_bc,52,963,0.6031962335109711,0.9956857630179593,0.04897388731731448,0.040895,0.24570802386460489
0.05,fast_bc,72,1333,0.6296607255935667,0.9955854319253536,0.04793650596960366,0.04586875,0.28408279800142755
0.12,myopic,24,444,0.6417428612709046,0.47195745961673524,0.049330789466076955,0.0473875,0.07331276513690706
0.12,myopic,36,667,0.6601435840129852,0.5487107454600181,0.049570620445910915,0.047910714285714286,0.07507820646506778
0.12,myopic,52,963,0.6768742203712463,0.6014849001705629,0.04750904122220995,0.04639,0.07475952757822964
0.12,myopic,72,1333,0.6883568167686462,0.6049964884117588,0.04920663440746959,0.04889375,0.08493932905067808
0.12,clock,24,444,0.7223293513059617,0.3047055282432026,0.05124736218310063,0.05520625,0.00239105283455457
0.12,clock,36,667,0.7321084141731262,0.529246513494532,0.051766978180611024,0.05494285714285714,0.002963613413094781
0.12,clock,52,963,0.7121540904045105,0.7709441155814187,0.05180752402587735,0.05354,0.009618896870814563
0.12,clock,72,1333,0.7593475997447967,0.8250225744958363,0.05161678056517618,0.051925,0.01641684511063526
0.12,fast,24,444,0.12791435420513153,0.9998996689073945,0.05004769751105715,0.021196875,0.40609332819128424
0.12,fast,36,667,0.14843688905239105,0.9998996689073945,0.05012390140198041,0.023575,0.4580977992426321
0.12,fast,52,963,0.14715851843357086,0.9998996689073945,0.05113033288027165,0.03426,0.4619505661755753
0.12,fast,72,1333,0.14713115990161896,0.9998996689073945,0.05169112954690491,0.0467875,0.6117059243397573
0.12,fast_bc,24,444,0.13164184167981194,0.9998996689073945,0.04889717572919377,0.019228125,0.41504049363671425
0.12,fast_bc,36,667,0.1396622359752655,0.9996990067221833,0.04892009617028982,0.021692857142857142,0.46731792986114923
0.12,fast_bc,52,963,0.13735859096050262,0.9996990067221833,0.04954541743310936,0.03195,0.4780226470230123
0.12,fast_bc,72,1333,0.13284750878810872,0.9998996689073945,0.049051740695534723,0.04403125,0.622412562455389
0.25,myopic,24,444,0.9211320906877519,0.9331794923246715,0.049614083774173964,0.043609375,0.12371770150404936
0.25,myopic,36,667,0.9320684671401978,0.9619745159024782,0.04856800828915469,0.04346785714285714,0.12694144119422643
0.25,myopic,52,963,0.9400938153266907,0.9815390789605699,0.04735535245157603,0.044275,0.12236697917934981
0.25,myopic,72,1333,0.9449971705675125,0.9859536470352163,0.04854988506886575,0.0478125,0.13276231263383298
0.25,clock,24,444,0.9229204654693604,0.8169960870873884,0.04987136125805799,0.051684375,0.027497107597377553
0.25,clock,36,667,0.9310429096221924,0.895053677134544,0.050351920220239356,0.05161071428571429,0.031008177377750946
0.25,clock,52,963,0.9309402704238892,0.9819404033309923,0.05037149457526668,0.05013,0.056252282966029465
0.25,clock,72,1333,0.9456453740596771,0.9954851008327481,0.051784065774065836,0.0514875,0.08565310492505353
0.25,fast,24,444,0.015294341603294018,1.0,0.048972335443586854,0.0131375,0.4912070960277671
0.25,fast,36,667,0.01519959606230259,1.0,0.04863842586538172,0.017025,0.5344382854947588
0.25,fast,52,963,0.014364667236804962,1.0,0.0497087117519079,0.028675,0.5619140387191038
0.25,fast,72,1333,0.013613859936594946,1.0,0.049305766383107914,0.043175,0.7494646680942184
