estimator,policy,kind,k,n_state_dims,tpr,fpr,threshold,ce_bits,mi_state_given_feat_bits,mi_total_bits,rdet,rdet_lo,rdet_hi
LogisticRegression,myopic,myopic,0,0,0.08420842084208421,0.05007325708130515,0.5523359371984464,0.9821083770069899,0.0,0.004061141118490874,0.0,0.0,0.0
LogisticRegression,clock,clock,0,1,0.7257725772577258,0.051193809649004135,0.6041088701071866,0.39478777436830925,0.5873206026386807,0.5913817437571716,0.9931327925466729,0.9926678422147889,0.993719269070094
LogisticRegression,mean_1,mean,1,3,0.0928092809280928,0.05007070456976142,0.594868485720639,0.9768850201747913,0.005223356832198656,0.00928449795068953,0.5625890446570386,0.5465891329219186,0.5849406534629863
LogisticRegression,mean_5,mean,5,3,0.10831083108310831,0.04949319883299172,0.6780505349740197,0.9534368151128396,0.02867156189415032,0.032732703012641196,0.8759301632705835,0.8684872349564339,0.8857809954023135
LogisticRegression,mean_10,mean,10,3,0.1149114911491149,0.04939428901067205,0.726790907266568,0.9219756852469696,0.06013269176002034,0.06419383287851121,0.9367362729971787,0.9325010042791836,0.9422748821743803
LogisticRegression,mean_30,mean,30,3,0.11901190119011901,0.04910713146200204,0.7937733988159882,0.809619663169599,0.17248871383739095,0.17654985495588182,0.976997199349126,0.9752929474658739,0.9791178218448171
LogisticRegression,mean_60,mean,60,3,0.1327132713271327,0.049585089248566125,0.8125370070833348,0.6905660183768808,0.29154235863010913,0.2956034997486,0.9862615255842887,0.9851637332995801,0.9875530118021594
LogisticRegression,mean_120,mean,120,3,0.18931893189318932,0.04982438720579114,0.8000888404177467,0.5670785725808081,0.41502980442618187,0.41909094554467274,0.9903096424256725,0.9895766445804791,0.9911662710823999
LogisticRegression,mean_1_clock,mean_clock,1,4,0.7265726572657266,0.051195085904776005,0.6102156047054575,0.39388639383141877,0.5882219831755712,0.592283124294062,0.9931432435740402,0.9926789342507314,0.9937284528898935
LogisticRegression,mean_5_clock,mean_clock,5,4,0.7243724372437244,0.05112680622098113,0.6167906152676257,0.3904731577031993,0.5916352193037906,0.5956963604222816,0.9931825315910742,0.9927207912548239,0.9937632665537041
LogisticRegression,mean_10_clock,mean_clock,10,4,0.7204720472047205,0.05102981078231926,0.6134624630874235,0.3865629703885057,0.5955454066184842,0.5996065477369752,0.9932269900423562,0.992767968150249,0.9938036221983246
LogisticRegression,mean_30_clock,mean_clock,30,4,0.682068206820682,0.05098131306298833,0.6032620911296205,0.3747221447665014,0.6073862322404886,0.6114473733589794,0.9933581510111313,0.992907737974414,0.9939223325914849
LogisticRegression,mean_60_clock,mean_clock,60,4,0.6502650265026503,0.05090154707724666,0.5972786907579071,0.3679933205553773,0.6141150564516127,0.6181761975701034,0.9934304472827422,0.9929835027623064,0.9939905429644245
LogisticRegression,mean_120_clock,mean_clock,120,4,0.6678667866786678,0.05091558589073719,0.5992801835895121,0.3658241876818664,0.6162841893251235,0.6203453304436144,0.9934534187343899,0.9930014181448258,0.9940097955128416
LogisticRegression,lag_1,lag,1,3,0.0928092809280928,0.05007070456976142,0.594868485720639,0.9768850201747913,0.005223356832198656,0.00928449795068953,0.5625890446570386,0.5465891329219186,0.5849406534629863
LogisticRegression,lag_5,lag,5,15,0.10571057105710571,0.049669960257395264,0.6792213352232122,0.9532724054777486,0.028835971529241333,0.03289711264773221,0.8765502260949691,0.8691086963037874,0.8863740738027832
