policy,window_length,hours,tpr,fpr,fpr_benign_entities,fpr_attacker_preonset,threshold,ind_fpr
myopic,68,23.8,0.10436261757054233,0.04980681805503887,0.04863640350877193,0.0581626550351794,0.17416168749332428,
myopic,103,36.0,0.1133680208124875,0.04965873935595537,0.048467857142857146,0.058289493267071744,0.18019530177116394,
myopic,206,72.1,0.12367420452271363,0.050388517879326016,0.04905377358490566,0.06053575270745177,0.19005852937698364,
myopic,274,95.9,0.12757654592755654,0.05002742545647835,0.0487,0.06048447823786777,0.1942782700061798,
myopic,343,120.0,0.13267960776465879,0.05012777069582843,0.04886530612244898,0.060487061512762653,0.19765812158584595,
clock,68,23.8,0.0051030618371022615,0.049867602177918205,0.056835526315789475,0.00012211809132554492,0.3587110519409179,
clock,103,36.0,0.007204322593556134,0.05004476128231462,0.05693348214285714,0.0001197108820427206,0.3644983023405075,
clock,206,72.1,0.01821092655593356,0.04983242039968985,0.05637216981132075,0.00011475292261349781,0.37165704369544983,
clock,274,95.9,0.033219931959175504,0.049918245605945995,0.05624166666666667,0.00010426360929722465,0.37401156425476073,
clock,343,120.0,0.05663398038823294,0.04987172904517384,0.05593622448979592,0.00010884991689727498,0.3768136501312256,
fast,68,23.8,0.5237142285371222,0.05018190995255376,0.037941666666666665,0.1375675954947818,0.8626369953155517,
fast,103,36.0,0.6086651991194717,0.0500737913865327,0.03758125,0.14061175496153075,0.8830819576978683,
fast,206,72.1,0.8138883329997999,0.049895366965975504,0.03689575471698113,0.14872337373592484,0.9140864014625549,
fast,274,95.9,0.8841304782869722,0.050315816854498055,0.03696617647058824,0.15548021115311692,0.9250596165657043,
fast,343,120.0,0.9236541925155093,0.05006910395882232,0.03662091836734694,0.16041965829499163,0.9332873821258545,
slow,68,23.8,0.48028817290374226,0.04982836179479357,0.04187763157894737,0.10659030632853524,0.2091521352529525,
slow,103,36.0,0.528717230338203,0.04985567330619149,0.042,0.10678857764059557,0.22512071952223778,
slow,206,72.1,0.6910146087652591,0.049895366965975504,0.042185849056603775,0.10850606038872553,0.2619956627488121,
slow,274,95.9,0.7884730838503102,0.05005526414346667,0.04227205882352941,0.11136898119007256,0.2809058427810669,
slow,343,120.0,0.8655193115869522,0.05036198286294586,0.042400510204081636,0.11569071552074219,0.29811814427375793,
fast_bc,68,23.8,0.3743245947568541,0.050237692850132895,0.039239473684210525,0.1287563055206771,0.20711664855480194,
fast_bc,103,36.0,0.4554732839703822,0.049885095709115215,0.038718303571428574,0.13081487520949403,0.21697213128209114,
fast_bc,206,72.1,0.6871122673604162,0.05038810101464863,0.03847264150943396,0.14097396543068205,0.23341702073812454,
fast_bc,274,95.9,0.7836702021212728,0.049929555072535006,0.037868627450980394,0.1449418633837789,0.24130676686763763,
fast_bc,343,120.0,0.8448068841304783,0.04973211130671743,0.037618877551020405,0.149128572684532,0.2473856508731842,
slow_bc,68,23.8,0.13708224934960977,0.04995647010440635,0.040377631578947366,0.11834182419378575,0.4022930860519409,
slow_bc,103,36.0,0.14688813287972782,0.049912164319805045,0.04049241071428571,0.11818052401012043,0.42544203996658325,
slow_bc,206,72.1,0.18861316790074045,0.04986285152113921,0.04070377358490566,0.11949365272896795,0.4669857323169708,
slow_bc,274,95.9,0.22273364018411046,0.04997522791837523,0.0409171568627451,0.12133194830069625,0.4862874746322632,
slow_bc,343,120.0,0.2616569941965179,0.04973029218308934,0.040956122448979594,0.12172769937327567,0.5065581202507019,
fast_OR_slow,68,23.8,0.5557334400640385,0.05001456125981635,0.03877719298245614,0.1302405100152491,0.9027|0.3260,0.029
fast_OR_slow,103,36.0,0.6303782269361617,0.049676000499003954,0.03853660714285714,0.1304072111246999,0.9173|0.3458,0.029
fast_OR_slow,206,72.1,0.8124874924954973,0.04914167562925723,0.03806556603773585,0.13334648210571612,0.9390|0.3908,0.029
fast_OR_slow,274,95.9,0.8835301180708425,0.050001761666910984,0.038754901960784315,0.13860109129244397,0.9460|0.4058,0.030000000000000002
fast_OR_slow,343,120.0,0.9296577946768061,0.050025444991748,0.038710714285714286,0.1428697024629387,0.9514|0.4242,0.030000000000000002
fast_bc_OR_slow_bc,68,23.8,0.298078847308385,0.050253465945310445,0.039939473684210525,0.12388723803320986,0.2243|0.5392,0.036
fast_bc_OR_slow_bc,103,36.0,0.3739243546127677,0.050662239445007175,0.040163839285714285,0.12674794064928593,0.2336|0.5638,0.036
fast_bc_OR_slow_bc,206,72.1,0.5859515709425656,0.04924297374586262,0.03895518867924528,0.12745463673527935,0.2529|0.6202,0.034999999999999996
fast_bc_OR_slow_bc,274,95.9,0.6880128076846108,0.04915355167273536,0.03882058823529412,0.13055348530076188,0.2608|0.6451,0.034999999999999996
fast_bc_OR_slow_bc,343,120.0,0.7646587952771663,0.04957748579832923,0.039035714285714285,0.13607914226265486,0.2665|0.6644,0.034999999999999996
