policy,window_length,hours,tpr,fpr,fpr_benign_entities,fpr_attacker_preonset,threshold,ind_fpr
myopic,68,23.8,0.08581716343268654,0.04983425606548486,0.049356140350877195,0.05419805769276959,0.20722849667072296,
myopic,103,36.0,0.09421884376875375,0.049662159709692066,0.049175892857142856,0.05420872047884996,0.21348634362220764,
myopic,206,72.1,0.10372074414882977,0.0502841539483042,0.04970377358490566,0.056146051196051434,0.2236848622560501,
myopic,274,95.9,0.11002200440088018,0.050155837670624655,0.04963627450980392,0.055709547438524055,0.22791634500026703,
myopic,343,120.0,0.11382276455291059,0.05004143854361459,0.04953265306122449,0.05583676695356041,0.23143132030963898,
clock,68,23.8,0.0010002000400080016,0.0494871938796888,0.054905263157894735,3.6027957695171456e-05,0.3449651896953583,
clock,103,36.0,0.0017003400680136026,0.049523022906354075,0.05481696428571429,2.5044453905682588e-05,0.3508816361427307,
clock,206,72.1,0.005601120224044809,0.04958755722887559,0.05449433962264151,2.8585176680212864e-05,0.3578107953071594,
clock,274,95.9,0.011402280456091218,0.049560548078823874,0.05419411764705882,3.1438796522869105e-05,0.3599107265472412,
clock,343,120.0,0.023004600920184037,0.04983928786678505,0.054212244897959186,2.9057434925874483e-05,0.361782968044281,
fast,68,23.8,0.2639527905581116,0.05069637750878921,0.046760087719298245,0.0866232196184239,0.7444316148757935,
fast,103,36.0,0.3328665733146629,0.050490931103487936,0.04648526785714286,0.08794359988980441,0.7731981635093687,
fast,206,72.1,0.5451090218043608,0.05048373341505361,0.046378773584905664,0.09194422079190467,0.8207952976226807,
fast,274,95.9,0.658631726345269,0.050527893665500145,0.04625245098039216,0.09622891635708185,0.8395029306411743,
fast,343,120.0,0.7398479695939187,0.05062912949040675,0.046281632653061226,0.100149355215519,0.852617621421814,
slow,68,23.8,0.23214642928585716,0.050331527397753026,0.04782456140350877,0.07321281314299896,0.30546262860298157,
slow,103,36.0,0.2623524704940988,0.0501626489066267,0.047678125,0.07339277217060282,0.3278542160987854,
slow,206,72.1,0.393378675735147,0.05008157005947468,0.04767028301886792,0.0744358000752743,0.3768151611089701,
slow,274,95.9,0.4963992798559712,0.050691508651198404,0.04823186274509804,0.07698313308566548,0.400660336017608,
slow,343,120.0,0.6032206441288258,0.05091523601677804,0.0484030612244898,0.07953019939211846,0.4228803217411041,
fast_bc,68,23.8,0.1842368473694739,0.05021807996344384,0.04440219298245614,0.1033001609248777,0.2419581264257431,
fast_bc,103,36.0,0.24004800960192038,0.05019813887385494,0.04429866071428572,0.1053578435055557,0.2518478333950043,
fast_bc,206,72.1,0.4349869973994799,0.04976911016314441,0.04380235849056604,0.11003387343436605,0.2697116881608963,
fast_bc,274,95.9,0.5544108821764353,0.050030773065118314,0.044040686274509806,0.11405995378496911,0.277022123336792,
fast_bc,343,120.0,0.6477295459091819,0.04992230566214196,0.04403826530612245,0.11694455260267445,0.2832028344273567,
slow_bc,68,23.8,0.0635127025405081,0.04987536593715091,0.04275482456140351,0.11486513534502774,0.46528103947639465,
slow_bc,103,36.0,0.07001400280056011,0.04986784020158301,0.0428125,0.1158347733894329,0.48913598060607905,
slow_bc,206,72.1,0.09481896379275855,0.04987126051386777,0.04300377358490566,0.11923353612928123,0.5305015444755535,
slow_bc,274,95.9,0.11122224444888978,0.049737162611331036,0.04305588235294118,0.12115464220029658,0.5502694845199585,
slow_bc,343,120.0,0.13622724544908982,0.049947164098039794,0.04350102040816327,0.12337205720827789,0.5655117034912109,
fast_OR_slow,68,23.8,0.27775555111022204,0.05112170656564179,0.047793859649122805,0.08149524030647783,0.7984|0.4203,0.029
fast_OR_slow,103,36.0,0.33656731346269253,0.051339463956308624,0.04800223214285714,0.08254234599747885,0.8212|0.4433,0.029
fast_OR_slow,206,72.1,0.5288057611522304,0.051080755002684664,0.04772122641509434,0.08501231544695306,0.8583|0.4961,0.029
fast_OR_slow,274,95.9,0.6325265053010602,0.05067985388509387,0.047330392156862744,0.08648288943499242,0.8734|0.5209,0.029
fast_OR_slow,343,120.0,0.7196439287857571,0.050070987250436544,0.0466515306122449,0.08902035763890907,0.8845|0.5444,0.029
fast_bc_OR_slow_bc,68,23.8,0.13852770554110821,0.04964135589843648,0.04336140350877193,0.1069590001841429,0.2592|0.6136,0.036
fast_bc_OR_slow_bc,103,36.0,0.18103620724144828,0.04987227644748654,0.043505357142857144,0.10940252281132343,0.2692|0.6373,0.036
fast_bc_OR_slow_bc,206,72.1,0.35297059411882376,0.05047257413304182,0.044042924528301886,0.11541265084635945,0.2862|0.6771,0.036
fast_bc_OR_slow_bc,274,95.9,0.45649129825965196,0.048854538209030025,0.042709313725490194,0.1145420153316531,0.2960|0.7088,0.034999999999999996
fast_bc_OR_slow_bc,343,120.0,0.5516103220644129,0.04888903897755846,0.04287448979591837,0.11739784858751809,0.3020|0.7276,0.034999999999999996
