policy,window_hours,target_fpr,threshold,tpr,fpr,fpr_benign_entities,fpr_attacker_preonset
myopic,24,0.005,0.20824354887008628,0.013908345007004202,0.005070473035124375,0.004930701754385965,0.0060683297689463084
myopic,24,0.01,0.19795361876487755,0.027016209725835502,0.010015530728105309,0.009702631578947369,0.012249383929885428
myopic,24,0.02,0.1877005696296692,0.04742845707424455,0.019855633861065192,0.01932061403508772,0.023675253551601157
myopic,24,0.03,0.18175886571407318,0.06643986391835101,0.029688427510894014,0.02893640350877193,0.035057285909764126
myopic,24,0.05,0.17416168749332428,0.10436261757054233,0.04980681805503887,0.04863640350877193,0.0581626550351794
myopic,24,0.075,0.16815891563892366,0.1505903542125275,0.07482910236084764,0.07308377192982456,0.08728938543287733
myopic,24,0.1,0.1639258861541748,0.19311586952171303,0.09983099705581713,0.09751315789473684,0.1163785410332443
myopic,24,0.15,0.15792398154735565,0.27636581949169503,0.1495181704132897,0.1462798245614035,0.17263740633698957
myopic,24,0.2,0.1535514384508133,0.34970982589553734,0.19963775740441023,0.19567894736842106,0.22790053951146502
myopic,24,0.3,0.14709804952144623,0.4789873924354613,0.29974305243246135,0.2947464912280702,0.3354145596077191
myopic,120,0.005,0.23292964696884155,0.014908945367220332,0.0049862178646126335,0.004885204081632653,0.005815097483473652
myopic,120,0.01,0.22241716086864471,0.03101861116670002,0.009890120385053899,0.009665816326530612,0.01173067181331402
myopic,120,0.02,0.21176059544086456,0.057834700820492295,0.019861191771558092,0.019423979591836733,0.0234487840208322
myopic,120,0.03,0.20529800653457642,0.08585151090654393,0.03037436199923506,0.02957142857142857,0.03696291985715542
myopic,120,0.05,0.19765812158584595,0.13267960776465879,0.05012777069582843,0.04886530612244898,0.060487061512762653
myopic,120,0.075,0.1914294958114624,0.18481088653191916,0.07519711341462694,0.07338520408163265,0.09006493316196448
myopic,120,0.1,0.1871955692768097,0.23474084450670402,0.09896078014935915,0.09676989795918367,0.11693830302979558
myopic,120,0.15,0.1808788925409317,0.32529517710626377,0.14884115003176646,0.1458826530612245,0.1731174197545853
myopic,120,0.2,0.1762116402387619,0.40854512707624574,0.19952875602414158,0.19571785714285714,0.2307995026396105
