control,policy,window_hours,threshold,tpr,fpr,fpr_benign_entities,fpr_attacker_preonset
baseline,myopic,24,0.17416168749332428,0.10436261757054233,0.04980681805503887,0.04863640350877193,0.0581626550351794
baseline,myopic,120,0.19765812158584595,0.13267960776465879,0.05012777069582843,0.04886530612244898,0.060487061512762653
baseline,fast,24,0.4321740806102752,0.5467280368220933,0.05001610009837026,0.0377719298245614,0.1374298212379017
baseline,fast,120,0.7345057129859924,0.9404642785671403,0.0503306029803612,0.036863265306122446,0.16083831182151964
reset_500,myopic,24,0.17416168749332428,0.10436261757054233,0.04980681805503887,0.04863640350877193,0.0581626550351794
reset_500,myopic,120,0.19765812158584595,0.13267960776465879,0.05012777069582843,0.04886530612244898,0.060487061512762653
reset_500,fast,24,0.5149810552597045,0.4195517310386232,0.050328869034451905,0.04049780701754386,0.12051489997275827
reset_500,fast,120,0.7627740502357483,0.8419051430858515,0.0500536414079835,0.0386234693877551,0.14384516517974888
reset_200,myopic,24,0.17416168749332428,0.10436261757054233,0.04980681805503887,0.04863640350877193,0.0581626550351794
reset_200,myopic,120,0.19765812158584595,0.13267960776465879,0.05012777069582843,0.04886530612244898,0.060487061512762653
reset_200,fast,24,0.5213846325874327,0.35771462877726634,0.05019845246700826,0.04254517543859649,0.10483681578642486
reset_200,fast,120,0.7422803640365601,0.768361016609966,0.048776161840152696,0.03973979591836735,0.12292504845914569
reset_50,myopic,24,0.17416168749332428,0.10436261757054233,0.04980681805503887,0.04863640350877193,0.0581626550351794
reset_50,myopic,120,0.19765812158584595,0.13267960776465879,0.05012777069582843,0.04886530612244898,0.060487061512762653
reset_50,fast,24,0.4375559091567993,0.26966179707824695,0.05011227750798946,0.04535570175438596,0.08407047779486039
reset_50,fast,120,0.5989829301834106,0.558435061036622,0.050618479294507475,0.04511734693877551,0.09575862112274502
wrong_entity,myopic,24,0.17416168749332428,0.10436261757054233,0.04980681805503887,0.04863640350877193,0.0581626550351794
wrong_entity,myopic,120,0.19765812158584595,0.13267960776465879,0.05012777069582843,0.04886530612244898,0.060487061512762653
wrong_entity,fast,24,0.2566223919391632,0.09065439263558135,0.04978027308998397,0.053108771929824564,0.026017415918562888
wrong_entity,fast,120,0.3031778633594513,0.1226736041624975,0.04937738219923861,0.052613265306122446,0.02282499026630551
time_shuffle,myopic,24,0.12768341600894928,0.08094856914148489,0.049522517632204506,0.045595175438596494,0.07756064415727558
time_shuffle,myopic,120,0.1372961401939392,0.08695217130278167,0.050436112150790795,0.04585255102040817,0.08804702316409962
time_shuffle,fast,24,0.4694738686084744,0.46187712627576544,0.0492505279178014,0.02016315789473684,0.2569114142840592
time_shuffle,fast,120,0.6616785526275635,0.5519311586952171,0.049761672065674,0.016479591836734694,0.32286141312311345
